2012-10-20 17:02:12 Debug: Something did not work
2012-10-20 17:03:16 Debug: Something did not work
2012-10-20 17:03:57 Debug: 
2012-10-20 22:45:51 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 22:45:57 Notice: Notice (8): Use of undefined constant APP_LINK - assumed 'APP_LINK' in [/home/appslanz/public_html/supermama/app/models/facebook_m.php, line 31]
2012-10-20 22:46:05 Notice: Notice (8): ob_clean() [<a href='ref.outcontrol'>ref.outcontrol</a>]: failed to delete buffer. No buffer to delete in [/home/appslanz/public_html/supermama/app/controllers/fotos_controller.php, line 181]
2012-10-20 22:46:07 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:46:24 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:46:39 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:49:27 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:52:31 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:52:39 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:53:51 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:53:55 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:56:10 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 22:56:44 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 22:58:23 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:00:12 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 23:00:58 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:01:08 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:02:09 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:02:35 Notice: Notice (8): Undefined index: es_cliente in [/home/appslanz/public_html/supermama/app/views/usuarios/add.ctp, line 63]
2012-10-20 23:02:41 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:03:29 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
2012-10-20 23:04:19 Notice: Notice (8): Undefined variable: zona in [/home/appslanz/public_html/supermama/app/views/elements/banner.ctp, line 5]
